ASIN,Product Title,Manufacturer Code,Parent ASIN,UPC,EAN,ISBN-13,Model Number,Brand,Brand Code,Product Group,Release Date,Replenishment Category,Prep Instructions Required,Prep Instructions Vendor State
ASINTEST34,Product Test 34,TEST1,ASINTEST34,1.28E+12,5.27E+11,UNKNOWN,TST-A000034,TESTER,TEST1,PC,9/23/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST35,Product Test 35,TEST1,ASINTEST35,1.28E+12,5.27E+11,UNKNOWN,TST-A000035,TESTER,TEST1,PC,8/18/2021 0:00,Obsolete (OB),UNKNOWN,UNKNOWN
ASINTEST36,Product Test 36,TEST1,ASINTEST36,1.28E+12,5.27E+11,UNKNOWN,TST-A000036,TESTER,TEST1,PC,6/30/2021 0:00,Obsolete (OB),UNKNOWN,UNKNOWN
ASINTEST37,Product Test 37,TEST1,ASINTEST37,1.28E+12,5.27E+11,UNKNOWN,TST-A000037,TESTER,TEST1,PC,6/25/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST38,Product Test 38,TEST1,ASINTEST38,1.28E+12,5.27E+11,UNKNOWN,TST-A000038,TESTER,TEST1,PC,6/25/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST39,Product Test 39,TEST1,ASINTEST39,1.28E+12,5.27E+11,UNKNOWN,TST-A000039,TESTER,TEST1,PC,6/25/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST40,Product Test 40,TEST1,ASINTEST40,1.28E+12,5.27E+11,UNKNOWN,TST-A000040,TESTER,TEST1,PC,6/10/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST41,Product Test 41,TEST1,ASINTEST41,1.28E+12,5.27E+11,UNKNOWN,TST-A000041,TESTER,TEST1,PC,6/10/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST42,Product Test 42,TEST1,ASINTEST42,1.28E+12,5.27E+11,UNKNOWN,TST-A000042,TESTER,TEST1,PC,6/3/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST43,Product Test 43,TEST1,ASINTEST43,UNKNOWN,5.27E+11,UNKNOWN,TST-A000043,TESTER,TEST1,PC,6/3/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
ASINTEST44,Product Test 44,TEST1,ASINTEST44,UNKNOWN,5.27E+11,UNKNOWN,TST-A000044,TESTER,TEST1,PC,6/3/2021 0:00,New Product (NP),UNKNOWN,UNKNOWN
