ASIN,Product Title,Vendor Confirmation Rate,Open Purchase Order Quantity,Receive Fill Rate %,Overall Vendor Lead Time (days),Unfilled Customer Ordered Units,Aged 90+ Days Sellable Inventory,Aged 90+ Days Sellable Units,Sellable On Hand Inventory,Sellable On Hand Units,Unsellable On Hand Inventory,Unsellable On Hand Units
ASINTEST27,Product Test 27,0.00%,220,0.00%,0,1,$0.00 ,0,"$40,954.50 ",154,$0.00 ,0
ASINTEST28,Product Test 28,0.00%,"1,640",0.00%,0,23,"$20,673.50 ",12,"$38,563.43 ",26,"$5,021.33 ",3
ASINTEST29,Product Test 29,0.00%,78,0.00%,0,134,$0.00 ,0,"$38,000.00 ",25,$0.00 ,0
ASINTEST30,Product Test 30,0.00%,30,0.00%,0,3,"$10,087.00 ",8,"$37,466.00 ",30,$0.00 ,0
ASINTEST31,Product Test 31,0.00%,22,0.00%,0,77,$0.00 ,0,"$27,540.00 ",17,$0.00 ,0
ASINTEST32,Product Test 32,0.00%,591,0.00%,0,9,$0.00 ,0,"$22,950.75 ",355,$0.00 ,0
ASINTEST33,Product Test 33,0.00%,10,0.00%,0,,"$12,060.00 ",6,"$12,060.00 ",6,$0.00 ,0
ASINTEST34,Product Test 34,0.00%,20,0.00%,0,,$0.00 ,0,"$10,870.00 ",14,$0.00 ,0
ASINTEST35,Product Test 35,0.00%,798,0.00%,0,11,$65.00 ,1,"$9,828.20 ",108,$80.00 ,1
ASINTEST36,Product Test 36,0.00%,4,0.00%,0,21,$0.00 ,0,"$6,390.00 ",9,$710.00 ,1
ASINTEST37,Product Test 37,0.00%,,0.00%,0,,"$1,997.00 ",36,"$1,997.00 ",36,$74.00 ,2
ASINTEST38,Product Test 38,0.00%,,0.00%,0,,"$1,260.00 ",9,"$1,260.00 ",9,$0.00 ,0
ASINTEST39,Product Test 39,0.00%,,0.00%,0,,$625.45 ,7,$625.45 ,7,$0.00 ,0
ASINTEST40,Product Test 40,0.00%,,0.00%,0,,$514.76 ,1,$514.76 ,1,$0.00 ,0
ASINTEST41,Product Test 41,0.00%,,0.00%,0,,$505.00 ,1,$505.00 ,1,$0.00 ,0
ASINTEST42,Product Test 42,0.00%,,0.00%,0,,$375.00 ,1,$375.00 ,1,$0.00 ,0
ASINTEST43,Product Test 43,0.00%,,0.00%,0,,$249.00 ,1,$249.00 ,1,$0.00 ,0
ASINTEST44,Product Test 44,0.00%,,0.00%,0,,$0.00 ,0,$0.00 ,0,$379.00 ,1
